,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.112,0,1.178,0.725,0,3.8,0.7889948968271577,0,0.13068560017750167,0.08043044153538939,0,4,3.9
Nigerian Refugees,Displacement,NER004,Niger,NER,4.261,0,0.532,0.264,0,3.2,0.8425944235712873,0,0.10520071188451652,0.052204864544196164,0,4,3.6
Complex crisis in Niger,"Conflict,Displacement,Drought,Floods,Food Security,Violence",NER006,Niger,NER,17.239,5.6,3.023,1.277,x,4.4,0.6352113195032978,0.20634511220015475,0.11138951324661926,0.04705405504992815,x,3,3.7
Complex crisis in Nigeria,"Conflict,Displacement,Violence,Epidemic,Floods",NGA001,Nigeria,NGA,85.903,82.685,30.759,0.999,0,5,0.4287732223253771,0.4127110099527817,0.15352939414812375,0.004986373573717469,0,3,4
Middle belt conflict,"Violence,Conflict",NGA003,Nigeria,NGA,7.777,7.607,3.105,0.026,0,4.2,0.42003780718336486,0.4108560626519039,0.16770186335403728,0.0014042668106940318,0,3,3.6
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,0,8.2,5.6,2.1,0.2,4.8,0,0.5093167701863354,0.34782608695652173,0.13043478260869565,0.012422360248447204,4,4.4
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,15.897,17.748,9.757,0.483,0,5,0.36224222399453115,0.4044206448672667,0.22233109262846074,0.01100603850974137,0,3,4
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.575,0,0.1,x,x,1.7,0.9921104536489151,0,0.007889546351084813,x,x,1,1.35
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,5.425,1.773,x,x,x,x,0.7536815782161712,0.24631842178382884,x,x,x,x,x
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,150.73,73.815,19,1.6,0,5,0.6148605927104367,0.30110750780150525,0.07750515001325746,0.006526749474800629,0,3,4
