Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Drivers,First country,Website name,Crisis description,Connected crises,Starting date,Duration (days),Geoscope,ADM1,ADM1 name
MMR004,,,Myanmar,Post-coup conflict in Myanmar,MMR,Asia,"Violence,Socio-political,Conflict",Myanmar,Post-coup conflict,https://www.acaps.org/country/Myanmar/crisis/Post-coup-conflict,,17/06/2021,531,Subnational,"MMR.2_1,MMR.3_1,MMR.5_1,MMR.7_1,MMR.6_1,MMR.9_1,MMR.10_1,MMR.12_1,MMR.14_1,MMR.15_1","Bago,Chin,Kayah,Magway,Kayin,Mon,Naypyitaw,Sagaing,Tanintharyi,Yangon"
MOZ001,,,Mozambique,Multiple Crises in Mozambique,MOZ,Africa,"Conflict,Displacement,Cyclone",Mozambique,Multiple Crises,https://www.acaps.org/country/Mozambique/crisis/Multiple-Crises,"MOZ004,MOZ008",01/04/2019,1339,,"MOZ.1_1,MOZ.7_1,MOZ.8_1,MOZ.10_1,MOZ.9_1,MOZ.11_1","Cabo Delgado,Nampula,Nassa,Tete,Sofala,Zambezia"
MOZ004,,,Mozambique,Cabo Delgado Islamist Insurgency,MOZ,Africa,"Conflict,Displacement",Mozambique,Violent Insurgency in Cabo Delgado,https://www.acaps.org/country/Mozambique/crisis/Violent-Insurgency-in-Cabo-Delgado,,01/03/2019,1370,Subnational,"MOZ.1_1,MOZ.7_1,MOZ.8_1","Cabo Delgado,Nampula,Nassa"
MOZ008,,,Mozambique,2022 Tropical Cyclone Seasons in Mozambique,MOZ,Africa,Cyclone,Mozambique,Tropical Cyclones Season,https://www.acaps.org/country/Mozambique/crisis/Tropical-Cyclones-Season,"MWI004,MDG006",31/01/2022,303,Subnational,"MOZ.7_1,MOZ.11_1,MOZ.9_1,MOZ.10_1","Nampula,Zambezia,Sofala,Tete"
MRT002,,,Mauritania,Refugees from Mali in Mauritania,MRT,Africa,Displacement,Mauritania,Malian refugees,https://www.acaps.org/country/Mauritania/crisis/Malian-refugees,,Before 2019,More than 2 years,Subnational,"MRT.7_1,MRT.10_1,MRT.4_1","Hodh ech Chargui,Nouakchott,Dakhlet Nouadhibou"
MRT003,,,Mauritania,Food Security in Mauritania,MRT,Africa,"Drought,Floods",Mauritania,Food security,https://www.acaps.org/country/Mauritania/crisis/Food-security,,Before 2019,More than 2 years,National,,
MWI002,,,Malawi,Complex crisis in Malawi,MWI,Africa,"Drought,Socio-political,Cyclone",Malawi,Complex,https://www.acaps.org/country/Malawi/crisis/Complex,,Before 2019,More than 2 years,National,,
MWI004,,,Malawi,Tropical Cyclone Ana in Malawi,MWI,Africa,Cyclone,Malawi,Tropical Cyclone Ana,https://www.acaps.org/country/Malawi/crisis/Tropical-Cyclone-Ana,MDG006,31/01/2022,303,Subnational,"MWI.1_1,MWI.2_1,MWI.3_1,MWI.4_1,MWI.6_1,MWI.12_1,MWI.13_1,MWI.14_1,MWI.15_1","Balaka,Blantyre,Chikwawa,Chiradzulu,Dedza,Machinga,Mangochi,Mchinji,Mulanje"
MYS001,,,Malaysia,International Refugees in Malaysia,MYS,Asia,Displacement,Malaysia,International Refugees,https://www.acaps.org/country/Malaysia/crisis/International-Refugees,MMR002,26/03/2021,614,National,,
NAM002,,,Namibia,Food Security Crisis in Namibia,NAM,Africa,Drought,Namibia,Food Security Crisis,https://www.acaps.org/country/Namibia/crisis/Food-Security-Crisis,,01/01/2020,1064,National,,
NER001,,,Niger,Multiple crises in Niger,NER,Africa,"Conflict,Displacement",Niger,Country level,https://www.acaps.org/country/Niger/crisis/Country-level,,Before 2019,More than 2 years,National,,
NER002,,,Niger,Boko Haram in Niger,NER,Africa,Conflict,Niger,Boko Haram,https://www.acaps.org/country/Niger/crisis/Boko-Haram,,Before 2019,More than 2 years,Subnational,NER.2_1,Diffa
NER003,,,Niger,Mali/Burkina Faso conflict,NER,Africa,Conflict,Niger,Cross-border violence ,https://www.acaps.org/country/Niger/crisis/Cross-border-violence,,Before 2019,More than 2 years,Subnational,"NER.6_1,NER.7_1","Tahoua,Tillabéry"
NER004,,,Niger,Nigerian Refugees,NER,Africa,Displacement,Niger,Nigerian Refugees,https://www.acaps.org/country/Niger/crisis/Nigerian-Refugees,,01/12/2019,1095,Subnational,NER.4_1,Maradi
NGA001,,,Nigeria,Complex crisis in Nigeria,NGA,Africa,"Conflict,Displacement,Violence",Nigeria,Complex crisis,https://www.acaps.org/country/Nigeria/crisis/Complex-crisis,"NER004,CMR003",Before 2019,More than 2 years,National,,
NGA003,,,Nigeria,Middle belt conflict,NGA,Africa,Violence,Nigeria,Middle Belt,https://www.acaps.org/country/Nigeria/crisis/Middle-Belt,,Before 2019,More than 2 years,Subnational,"NGA.7_1,NGA.26_1,NGA.32_1,NGA.35_1","Benue,Nassarawa,Plateau,Taraba"
NGA004,,,Nigeria,Boko Haram crisis in Nigeria,NGA,Africa,"Conflict,Displacement",Nigeria,Boko Haram ,https://www.acaps.org/country/Nigeria/crisis/Boko-Haram,NER004,Before 2019,More than 2 years,Subnational,"NGA.8_1,NGA.2_1,NGA.36_1","Borno,Adamawa,Yobe"
NGA007,,,Nigeria,Northwest Banditry,NGA,Africa,"Violence,Displacement",Nigeria,Northwest Banditry,https://www.acaps.org/country/Nigeria/crisis/Northwest-Banditry,NER004,01/12/2019,1095,Subnational,"NGA.37_1,NGA.21_1,NGA.34_1,NGA.19_1,NGA.27_1,NGA.22_1","Zamfara,Katsina,Sokoto,Kaduna,Niger,Kebbi"
NGA008,,,Nigeria,Cameroonian Refugees in Nigeria,NGA,Africa,Displacement,Nigeria,Cameroonian Refugees,https://www.acaps.org/country/Nigeria/crisis/Cameroonian-Refugees,CMR003,01/01/2020,1064,Subnational,"NGA.9_1,NGA.35_1,NGA.7_1","Cross River,Taraba,Benue"
NIC001,,,Nicaragua,Socioeconomic crisis in Nicaragua,NIC,Americas,Socio-political,Nicaragua,Socioeconomic crisis,https://www.acaps.org/country/Nicaragua/crisis/Socioeconomic-crisis,,Before 2019,More than 2 years,National,,
PAK001,,,Pakistan,Complex crisis in Pakistan,PAK,Asia,"Displacement,Conflict",Pakistan,Complex crisis,https://www.acaps.org/country/Pakistan/crisis/Complex-crisis,,Before 2019,More than 2 years,National,,
