,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,3.8,2.3,0.5,x,x,2.8,0.5757575757575758,0.3484848484848485,0.07575757575757576,x,x,3,2.9
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.539,0,0.117,0,0,1.8,0.9545112781954888,0,0.04398496240601504,0,0,1,1.4
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,0,6.197,2.247,0.043,0,3.9,0,0.7301755626251915,0.26475786496995407,0.005066572404854483,0,3,3.45
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,2.599,3.427,1.588,0.119,0,3.7,0.3360920729341782,0.4431656536919695,0.20535367903788956,0.015388594335962758,0,3,3.35
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,0,7.904,0.583,x,x,2.9,0,0.9313067043713915,0.06869329562860846,x,x,3,2.95
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,126.897,0.487,0.128,0,0,1.8,0.9952393650395281,0.003819488016062241,0.001003890074036893,0,0,1,1.4
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,127.118,0.386,x,x,x,x,0.9969726439954825,0.0030273560045175054,x,x,x,x,x
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,57.696,0.101,0.128,0,0,1.8,0.9960466119982736,0.0017436340094950367,0.0022097539922313336,0,0,1,1.4
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,8.8,4.1,6.8,1.8,0.2,4.9,0.4055299539170507,0.1889400921658986,0.31336405529953915,0.08294930875576037,0.009216589861751152,4,4.45
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,1.1,37.338,12.849,4.673,0,5,0.019656897784131523,0.6672265904217298,0.22961043602573267,0.083506075768406,0,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.8,0.434,1.238,0,3.7,0,0.5184331797235023,0.125,0.3565668202764977,0,4,3.85
