,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,0,0.318,0.098,0.147,0.122,2.6,0,0.4642335766423358,0.14306569343065692,0.2145985401459854,0.1781021897810219,5,3.8
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.452,0,0.743,0.261,0,3.3,0.774685816876122,0,0.16674147217235188,0.05857271095152603,0,4,3.65
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,1.454,0,0.694,0.429,0,3.4,0.5642219635234769,0,0.2693053938688397,0.16647264260768335,0,4,3.7
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,0,0.02,0.011,0.006,0.001,0.4,0,0.5263157894736842,0.2894736842105263,0.15789473684210525,0.02631578947368421,4,2.2
Floods in Chad,Flood,TCD008,Chad,TCD,15.976,0.113,0.275,0,0,2.4,0.9762894157907602,0.006905402102175507,0.016805182107064286,0,0,1,1.7
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,34.9,4.9,5.998,2.502,0,4.9,0.6856581532416502,0.0962671905697446,0.11783889980353635,0.049155206286836936,0,3,3.95
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,19.138,0,2.756,0.3,0,4.1,0.8623051275119402,0,0.1241777056862215,0.013517166801838334,0,3,3.55
Hurricane Eta and Iota in Colombia,Tropical cyclone,COL003,Colombia,COL,23.619,0.257,0.046,0,0,1.1,0.9873338349636318,0.010743248892233092,0.0019229161441351058,0,0,1,1.05
Floods in Congo,Flood,COG004,Congo,COG,0.067,0,0.087,0,0,1.6,0.43506493506493504,0,0.564935064935065,0,0,3,2.3
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.651,0.039,0.041,0,0,1,0.954335260115607,0.02254335260115607,0.023699421965317918,0,0,1,1
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,0.372,0.329,0.203,0.107,0,2.5,0.36795252225519287,0.3254203758654797,0.20079129574678536,0.10583580613254204,0,4,3.25
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,0.981,0,0.03,0,0,0.8,0.9703264094955489,0,0.02967359050445104,0,0,1,0.9
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.372,0.329,0.203,0.107,0,2.5,0.36795252225519287,0.3254203758654797,0.20079129574678536,0.10583580613254204,0,4,3.25
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5917808219178082,0.19452054794520549,0.21365949119373778,0,4,4.5
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,46.241,29.826,16.511,6.391,0.533,5,0.46468696613405686,0.2997286704853784,0.1659230228117777,0.06422470103507186,0.005356245603456939,4,4.5
Floods in south-eastern DRC,Flood,COD003,DRC,COD,22.49,0,0.523,0.064,0,2.9,0.9745634181219396,0,0.022663257789140703,0.0027733240889197034,0,1,1.95
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,4.19,0,0.626,0,0,3,0.869835997508823,0,0.1299564044010795,0,0,3,3
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,18.731,3.03,0.037,0.087,0,1.8,0.8559221348930726,0.13845732041674283,0.0016907329555839884,0.003975507219886675,0,2,1.9
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,5.3,0.757,0.58,0.063,0,3,0.7910447761194029,0.11298507462686568,0.08656716417910448,0.009402985074626866,0,3,3
