,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,2.7,0.1395729924525736,0.6,1.6500000000000001,2.8,0.11745298581326295,0.5,1.65,1.7,x,x,x,x,x,x,x,x,3.4,x,x,3.4,3.4,3.4
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,3,0.22014239779513092,1.1,2.05,4.5,0.7287428273343767,5,4.8,0,0,0,0,3.2,2.7
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,4.6,1,5,4.8,5,1,5,5,4.9,4.3,0.21835658552721188,1.1,2.7,3.9,0.04660488326501515,1.6,2.8,3.1,1.2386383888789877e-05,0.6,1.9,2.4,2.6
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,3.5,0.2161155427487086,1,2.25,2.4,0.1014924211468488,0.5,1.45,1.9,2,0.10026840490797546,0.5,1.25,3.9,1,5,4.5,x,x,x,x,4.5,3.3
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,1,5,4.8,5,1,5,5,4.9,4.2,0.20816064444574164,1,2.6,x,x,x,x,x,x,x,x,x,2.6
Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,4.5,0.8277365850230172,4.1,4.3,5,0.8272138228941684,4.1,4.55,4.4,1.4,0.005480676498953261,0,0.7,1.7,0.06866952789699571,2.3,2,3.4,0.001017167381974249,5,4.2,3.3,2.2
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,1.7,0.997184750733138,5,3.35,2.8,1,5,3.9,3.6,3.4,0.5107934655775963,2.5,2.95,4.5,0.43603655054254714,5,4.8,0,0,0,0,3.2,3.1
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,1.7,0.997184750733138,5,3.35,2.8,1,5,3.9,3.6,3.5,0.6182905484247374,3.1,3.3,x,x,x,x,2.1,7.313045529606039e-06,0.4,1.3,1.3,2.4
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.9,0.2619706010769903,1.3,2.1,4.5,0.8144444444444444,5,4.8,4.1,0.000405,5,4.6,4.7,3.7
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.1,0.08514044535002183,0.4,1.25,4,1,5,4.5,3.9,0.0009641025641025641,5,4.5,4.5,3.3
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,1.0013175230566536,5,3.75,0.6,0.7302140368342459,3.6,2.1,3,2.5,0.7239263803680982,3.6,3.05,x,x,x,x,0,0,0,0,0,1.8
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,0.9757348102654091,4.9,4.95,4.8,x,x,x,x,x,x,x,x,2.8,x,x,2.8,2.8,2.8
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.2,0.14088518391199725,0.6,1.9000000000000001,2,0.1522196261682243,0.7,1.35,1.6,3.3,0.7590176515732924,3.8,3.55,x,x,x,x,x,x,x,x,x,3.55
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,5,0.8413184495485995,4.2,4.6,5,0.8049838623621304,4,4.5,4.6,x,x,x,x,4,x,x,4,5,x,x,5,4.6,4.6
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,5,0.5546613853236966,2.7,3.85,5,0.6124780239484295,3,4,3.9,x,x,x,x,3.6,x,x,3.6,5,x,x,5,4.4,4.4
