,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,1.227,0,0.002,0.034,0,0.9,0.9730372720063442,0,0.0015860428231562252,0.02696272799365583,0,1,0.95
Floods in Somalia,Flood,SOM004,Somalia,SOM,9.93,0.11,0.629,0,0,3,0.9308211473565804,0.010311211098612674,0.05896137982752156,0,0,3,3
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,0,4.43,5.26,1.93,0.01,4.8,0,0.37911852802738555,0.4501497646555413,0.16516902011125376,0.0008557980316645272,4,4.4
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,0.379,0.385,0.307,0.06,0,2.6,0.33510167992926615,0.34040671971706454,0.27144120247568526,0.05305039787798409,0,4,3.3
Syrian conflict,Complex crisis,SYR001,Syria,SYR,0,6.01,2.876,7.41,0.774,5,0,0.3520796719390744,0.16848271821909783,0.43409490333919154,0.04534270650263621,4,4.5
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,9.175,1.207,4.736,1.472,0.192,4.7,0.546684144670202,0.0719180122743252,0.28219031162485847,0.08770779955907763,0.011440147768575343,4,4.35
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,0,0.318,0.098,0.147,0.122,2.6,0,0.46355685131195334,0.14285714285714285,0.21428571428571427,0.17784256559766765,5,3.8
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.452,0,0.743,0.261,0,3.3,0.774685816876122,0,0.16674147217235188,0.05857271095152603,0,4,3.65
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,1.454,0,0.694,0.429,0,3.4,0.5642219635234769,0,0.2693053938688397,0.16647264260768335,0,4,3.7
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,0,0.02,0.011,0.006,0.001,0.4,0,0.5263157894736842,0.2894736842105263,0.15789473684210525,0.02631578947368421,4,2.2
Floods in Chad,Flood,TCD008,Chad,TCD,15.976,0.113,0.275,0,0,2.4,0.9762894157907602,0.006905402102175507,0.016805182107064286,0,0,1,1.7
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,3.458,0,0.092,0,0,1.6,0.9743589743589743,0,0.025922795153564385,0,0,1,1.3
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,x,x,x,x,x,x,x,x,x,x,x,x,x
