,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
NER001,1143,426,426,31,31,426,426,426,426,426,1143,152,152,152,152,152,152,152,152,152,391.3,,
NER002,1143,426,426,31,31,426,426,426,426,426,1143,152,152,152,152,152,152,152,152,152,391.3,,
NER003,1143,426,426,31,31,426,426,426,426,426,1143,153,153,153,153,153,153,153,153,153,391.4,,
NER004,426,426,426,183,183,426,426,426,426,426,836,152,152,152,152,152,152,152,152,152,391,,
NGA001,1002,36,36,36,36,36,36,36,36,36,1002,153,153,153,153,153,153,153,153,153,144.3,,
NGA003,486,233,125,125,36,125,125,125,125,125,1003,153,153,153,153,153,153,153,153,153,206.7,,
NGA004,1004,36,36,36,36,36,36,36,36,36,1004,153,153,153,153,153,153,153,153,153,144.5,,
NGA007,702,233,125,125,36,125,125,125,125,125,836,153,153,153,153,153,153,153,153,153,190,,
NGA008,275,275,125,125,275,125,125,125,125,125,792,153,153,153,153,153,153,153,153,153,209.5,,
NIC001,784,541,1162,541,427,882,882,882,1162,1162,1162,154,154,154,154,154,154,154,154,154,841.6,,
PAK001,93,80,80,93,36,80,80,80,80,80,1148,162,162,162,162,162,162,162,162,162,191.9,,
PAK004,93,93,93,93,36,93,93,93,93,93,1128,162,162,162,162,162,162,162,162,162,197.7,,
PAN002,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
PER002,129,42,42,129,129,42,42,42,42,42,129,155,155,155,155,155,155,155,155,155,79.4,,
PHL001,67,102,16,16,16,16,16,38,102,102,102,102,102,102,102,102,102,102,102,102,52.6,,
PHL003,853,248,38,38,16,38,393,38,393,393,853,157,157,157,157,157,157,157,157,157,235.7,,
PHL010,67,102,16,16,67,16,16,102,102,102,102,102,102,102,102,102,102,102,102,102,64.1,,
POL002,31,0,0,0,31,0,0,0,0,0,31,31,31,31,31,31,31,31,31,31,9.3,,
PRK001,373,373,373,287,16,731,731,731,731,731,1158,158,158,158,158,158,158,158,158,158,564.7,,
PSE002,71,71,71,71,49,71,71,71,71,71,1148,162,162,162,162,162,162,162,162,162,185.6,,
REG001,672,370,370,370,370,370,370,370,370,370,1065,152,152,152,152,152,152,152,152,152,417.7,,
REG002,17,17,17,17,17,17,17,17,17,17,1066,155,155,155,155,155,155,155,155,155,135.7,,
REG003,864,864,541,864,15,864,1071,1071,1071,1071,1071,151,151,151,151,151,151,151,151,151,779,,
REG004,32,32,32,32,32,32,32,32,32,32,1045,162,162,162,162,162,162,162,162,162,146.3,,
REG006,91,91,91,91,91,91,91,91,91,91,1048,162,162,162,162,162,162,162,162,162,193.8,,
REG007,1070,1070,1070,1070,365,1070,1070,1070,1070,1070,1070,151,151,151,151,151,151,151,151,151,907.6,,
REG008,1070,1070,1070,1070,365,1070,1070,1070,1070,1070,1070,151,151,151,151,151,151,151,151,151,907.6,,
REG011,381,66,66,15,15,66,66,66,66,66,381,151,151,151,151,151,151,151,151,151,95.8,,
REG012,3,3,3,3,3,3,3,3,3,3,60,154,154,154,154,154,154,154,154,154,23.8,,
