,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0366310692999525,5,4.85,5,1,5,5,4.9,5,0.9803431022158685,4.9,4.95,5,0.06788188115202333,2.3,3.7,5,0.00015016405395552315,5,5,4.5,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056350069713637825,0.2,1.4000000000000001,1.8,0.06204431736954968,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.3712557603686636,5,4.7,3.7,0.00010887096774193549,5,4.4,4.6,4.4
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.2292123125009576,1.1,2.35,2.3,0.08708005718370264,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.01928996511389288,0.6,1.7,4.5,0.00029612148573773854,5,4.8,3.7,4
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.7,1.0366310692999525,5,4.85,5,1,5,5,4.9,5,0.8312187276626162,4.1,4.55,4.8,0.050327851230785765,1.7,3.3,5,0.0001379554982263786,5,5,4.3,4.4
2024 Dzud,Other seasonal event,MNG004,Mongolia,MNG,5,0.8089851281567274,4,4.5,0,0.2793243665936816,1.4,0.7,3.1,1.7,0.38521836506159013,1.9,1.7999999999999998,0,0,0,0,0,0,0,0,0,1
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,4.3,0.3712696297154778,1.8,3.05,4.3,0.0752302169502107,2.5,3.4,3.6,2.7079756516310286e-05,1.4,2.5,3,3
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.3356319174827606,1.6,2.55,2.7,4.3,1,5,4.65,4.2,0.07959254143646409,2.7,3.5,3.2,1.4157458563535912e-05,0.7,2,2.8,3.9
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,4.6,0.7615351356850377,3.8,4.199999999999999,4.2,0.5222518398331112,2.6,3.4000000000000004,3.8,2.7,0.06829403606102635,0.3,1.5,2.3,0.03411860276198213,1.1,1.7,3.2,0.000148659626320065,5,4.1,3.1,2.4
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,2.4,1.0417257443791776,5,3.7,3.1,0.9,0.020804977639510013,0.1,0.5,2.9,1,5,4,0,0,0,0,2.5,1.6
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,1.8,0.7176422928904193,3.6,2.7,4.1,2.7,0.36550945526390066,1.8,2.25,2.9,0.08262548262548262,2.8,2.9,0,0,0,0,1.7,2
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,0.9978786593126856,5,4.15,4.3,0.9253759398496241,4.6,4.449999999999999,4.3,4.2,0.5367154174283973,2.7,3.45,2.9,0.009745482070205317,0.3,1.6,4.6,0.00016993093007853155,5,4.8,3.7,3.6
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,2.5,0.3370810352142554,1.6,2.05,3,0.3642387218045113,1.8,2.4,2.2,3.1,0.29673590504451036,1.4,2.25,4,0.28652173913043477,5,4.5,4.4,0.0005217391304347826,5,4.7,4.6,3.7
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018434093161546084,0.6,1.9,0,0,0,0,1,3.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,1,5,3.2,4.3,2.9,0.6199848599545799,3.1,3,0,0,0,0,0,0,0,0,0,1.7
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,4.4,0.3231420225783532,1.5,2.95,3.7,1,5,4.35,3.7,3.3,0.2504784688995215,1.2,2.25,4,0.2142629735752945,5,4.5,4.3,0.0003043616682585164,5,4.7,4.6,3.7
