Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1259200,16797000,7607000,1082000,x,x,242,x,x,#N/A,x,9175000,1207000,715000,1910000,3525000,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,19915,1104000,827000,405000,x,x,58,x,x,#N/A,x,277000,0,0,0,827000,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,154623,3187000,1248000,125000,x,x,35,x,0,#N/A,x,1939000,0,0,0,1248000,3,x,x,1.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,3.0
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,205671,2448000,1281000,405000,x,x,12,x,0,#N/A,x,1167000,0,0,631000,650000,3,x,x,1.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,3.0
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,220000,38000,38000,0,x,x,14,x,x,#N/A,x,0,20000,11000,6000,1000,3,x,x,1.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0
Multiple situations in Thailand,"Conflict,Displacement",THA001,Thailand,THA,30342,3800000,91000,91000,x,x,24,x,x,#N/A,x,3709000,0,91000,0,0,2,x,x,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,18330,3458000,x,x,x,x,24,x,x,#N/A,x,3458000,x,x,x,x,1,x,x,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,12012,342000,91000,91000,0,x,x,x,x,#N/A,x,252000,0,91000,0,0,1,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,5130,1403000,212000,34000,x,x,159,x,x,#N/A,x,1191000,177000,35000,0,0,3,x,x,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,163610,12417000,11000,11000,x,x,549,0,0,#N/A,x,12406000,0,11000,0,0,4,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,373091,86757000,23374000,4205000,x,x,40786,x,x,#N/A,x,63383000,21229000,1724000,421000,0,4,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,132028,36158000,12001000,3501000,x,x,x,0,0,#N/A,x,24157000,10040000,1575000,385000,0,2,x,x,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,177504,37626000,8830000,330000,x,x,186,0,0,#N/A,x,28796000,8645000,149000,36000,0,2,x,x,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,195587,12974000,x,x,x,x,134,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,100051,13310000,2544000,374000,105500,x,40600,6400,5700,#N/A,x,10766000,2544000,x,x,x,3,x,x,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,441435,25521000,19420000,247000,x,x,12,x,x,#N/A,x,6101000,18062000,1340000,18000,0,2,x,x,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,187103,15015000,15015000,247000,0,x,1,x,x,#N/A,x,0,14768000,247000,0,0,2,x,x,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,357159,10506000,4405000,x,x,x,0,x,x,#N/A,x,6101000,3294000,1093000,18000,0,2,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crises in Uganda,"Displacement,Drought,Violence,Epidemic",UGA001,Uganda,UGA,54111,6851000,3873000,1502000,x,101063,2465,x,x,#N/A,x,2979000,1589000,2240000,44000,0,2,x,x,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,26513,5606000,3028000,1502000,x,x,x,x,x,#N/A,x,2577000,1054000,1966000,9000,0,2,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
