,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.4,0.02339047484951952,0.1,0.25,0.9,2.3,0.5793829947328819,2.9,2.5999999999999996,4.1,1,5,4.6,0,0,0,0,3,2.8
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5060368193178219,2.5,3.7,4.3,4.9,1,5,4.95,3.5,0.009808013355592655,0.3,1.9,3.5,9.286310517529215e-06,0.5,2,2,3.9
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,x,x,x,x,1.3,1.4035087719298246e-06,0.1,0.7,0.7,3
Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,2.8,0.01649122807017544,0.5,1.7,3.6,5.43859649122807e-05,2.7,3.2,2.5,3.6
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.2,0.12593444508338125,4.2,4.2,4.2,0.00013024726854514088,5,4.6,4.4,4.4
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.1125646923519264,0.5,1.4,x,x,x,x,4.2,0.0011085568326947637,5,4.6,4.6,3.4
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.28895917193789533,1.4,1.2,1.4,2.4,0.43980099502487563,2.2,2.3,2.4,0.05090497737556561,1.7,2.1,0,0,0,0,1.2,1.8
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,1.0136598771419334,5,4,4.5,1,5,4.75,4.4,3.9,0.31764759268502973,1.6,2.75,0,0,0,0,0,0,0,0,0,1.6
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,3,1,5,4,1.5,1,5,3.25,3.7,0.2,0.014613778705636743,0,0.1,2.3,1,5,3.7,0,0,0,0,2.3,1.3
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,3,1,5,4,0.9,1,5,2.95,3.5,0.3,0.024909185262065387,0.1,0.2,2.4,1,5,3.7,0,0,0,0,2.3,1.4
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,3.3,0.07387613957874882,0.3,1.7999999999999998,3.9,0.1773049645390071,5,4.5,3.4,8.936170212765958e-05,4.5,4,4.3,3.3
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.000523944252331552,0,0,x,x,x,x,3.3,0.01095,5,4.2,4.2,2.7
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,2.7,0.17290160326941215,0.8,1.75,1.7,3.2,0.42424242424242425,2.1,2.6500000000000004,3.9,0.17857142857142858,5,4.5,0,0,0,0,2.9,2.8
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,1,5,3.75,1.4,1,5,3.2,3.5,1,0.04550582925911997,0.2,0.6,3,1,5,4,0,0,0,0,2.5,1.6
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,4,0.409762805087659,2,3,3.6,0.40018722964684617,2,2.8,2.9,3.7,0.4111478583528273,2,2.85,2.1,0.006082009024916618,0.2,1.2,1.8,3.7276829507553464e-06,0.2,1,1.1,2.1
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,3,0.2496287688036671,1.2,2.1,2.3,3.6,0.5899392215181689,2.9,3.25,1.3,0.0017536168347216134,0.1,0.7,x,x,x,x,0.7,2.2
Cyclone Gamane in Madagascar,"Cyclone,Floods",MDG009,Madagascar,MDG,3.2,0.15236851151598488,0.7,1.9500000000000002,2.2,0.1505907418167732,0.7,1.4500000000000002,1.7,2,0.11468381564844587,0.5,1.25,1.9,0.04299065420560748,1.4,1.7,1.8,3.551401869158878e-05,1.8,1.8,1.8,1.5
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.004815535198895721,0,1.05,4,1,5,4.5,5,0.005739413680781759,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.0030273560045175054,0,0.9,3.7,1,5,4.4,5,0.009129533678756477,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.4542994729577111,2.2,3.6,3.8,1.4,0.003936124298662063,0,0.7,3.4,1,5,4.2,5,0.015456140350877194,5,5,4.6,3.2
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,0.9911923519518456,5,4.75,4.9,3.9,0.31703505246706853,1.6,2.75,4.6,0.22887323943661972,5,4.8,4.8,0.00031816901408450703,5,4.9,4.9,4.1
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0366310692999525,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.07519656897784131,2.5,3.8,5,0.00015482487491065046,5,5,4.5,4.8
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056350069713637825,0.2,1.4000000000000001,1.8,0.06204431736954968,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.3686635944700461,5,4.7,4.4,0.00037211981566820276,5,4.7,4.7,4.5
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.2292123125009576,1.1,2.35,2.3,0.08708005718370264,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.018879540324235583,0.6,1.7,4.4,0.00022901703262877079,5,4.7,3.6,4
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.7,1.0366310692999525,5,4.85,5,1,5,5,4.9,5,1,5,5,4.9,0.05067905646890636,1.7,3.3,5,0.00011179413867047892,5,5,4.3,4.7
2024 Dzud,Other seasonal event,MNG004,Mongolia,MNG,5,0.8089851281567274,4,4.5,0,0.2793243665936816,1.4,0.7,3.1,2.1,0.6103023516237402,3,2.55,0,0,0,0,0,0,0,0,0,1.4
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,5,1,5,5,4.1,0.020399942454323118,0.7,2.4,3.6,1.0070493454179255e-05,0.5,2.1,2.3,4
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.3333045604948928,1.6,2.55,2.7,4.3,1,5,4.65,4,0.05032803867403315,1.7,2.9,3.3,1.761049723756906e-05,0.9,2.1,2.5,3.8
2024 Rainy and Cyclone season,"Floods,Displacement,Cyclone",MOZ011,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,5,1,5,5,3,0.0036253776435045317,0.1,1.6,3.1,4.200834412314775e-06,0.2,1.7,1.7,3.9
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,1,0.4063441076089139,2,1.5,2,1,0.058794466403162056,0.2,0.6,x,x,x,x,0,8.403361344537815e-06,0.4,0.2,0.2,0.4
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,2.2,0.9198956032925115,4.6,3.4,4.4,2.7,0.3029244871235268,1.5,2.1,x,x,x,x,0,7.204610951008645e-07,0,0,0,1.2
