,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Socioeconomic crisis in Nicaragua,Socioeconomic crisis,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,Low,2.9,4.1,2,x,x,x,2.1,2.7,1.5,Americas,2020-10-06 00:00:00
Multiple crises in Niger,Country level,NER001,Niger,NER,Multiple crises country,3.8,4,High,Increasing,High,4.4,4.9,4,3.65,4.3,3,3.4,2.7,4,Africa,2020-11-04 00:00:00
Boko Haram in Niger,Boko Haram,NER002,Niger,NER,Conflict,3.4,4,High,Stable,High,3.2,1.2,3.9,3.45,2.9,4,3.4,2.7,4,Africa,2020-11-04 00:00:00
Mali/Burkina Faso conflict,Cross-border violence ,NER003,Niger,NER,Conflict,3.2,4,High,Stable,High,2.9,2.3,3.1,3.15,3.3,3,3.4,2.7,4,Africa,2020-11-04 00:00:00
Nigerian Refugees,Nigerian Refugees,NER004,Niger,NER,International displacement,2.5,3,Medium,Decreasing,High,1.5,0.3,2,2.9,1.8,4,2.4,2.7,2,Africa,2020-11-04 00:00:00
Floods in Niger,Floods,NER005,Niger,NER,Flood,2.9,3,Medium,-,High,3.7,4.9,2.7,1.95,2.9,1,3.4,2.7,4,Africa,2020-11-04 00:00:00
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,Complex crisis,4.2,5,Very High,Stable,High,4.1,4.3,4,4.3,4.6,4,4.1,3.5,4.5,Africa,2020-10-30 00:00:00
Middle belt conflict,Middle Belt,NGA003,Nigeria,NGA,Conflict,x,x,x,-,Very Low,3.1,3.4,3,x,x,x,3.5,3.5,3.5,Africa,2020-10-05 00:00:00
Boko Haram crisis in Nigeria,Boko Haram ,NGA004,Nigeria,NGA,Conflict,4,4,High,Stable,Medium,3.9,1.9,4.5,4.25,4.5,4,3.8,3.5,4,Africa,2020-10-30 00:00:00
Northwest Banditry,Northwest Banditry,NGA007,Nigeria,NGA,Other type of violence,2.5,3,Medium,Decreasing,High,3,2.7,3.2,1.75,2.5,1,3.3,3.5,3,Africa,2020-10-30 00:00:00
Cameroonian Refugees in Nigeria,Cameroonian Refugees in Nigeria,NGA008,Nigeria,NGA,International displacement,2.4,3,Medium,Decreasing,High,2.3,2.1,2.4,1.15,1.3,1,4.4,3.5,5,Africa,2020-10-30 00:00:00
Regional Boko Haram Crisis,Regional Boko Haram,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",Regional crisis,4.1,5,Very High,Stable,High,3.9,2.2,4.5,4.35,4.7,4,3.8,3.5,4,Africa,2020-11-01 00:00:00
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,Complex crisis,3.4,4,High,Stable,High,3.7,5,2.7,3.05,4.1,2,3.6,3.2,4,Asia,2020-10-28 00:00:00
Kashmir conflict in Pakistan,Kashmir conflict,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Low,1.9,1.1,2.2,x,x,x,2.9,3.2,2.5,Asia,2020-10-28 00:00:00
Conflict in Palestine,Complex,PSE002,Palestine,PSE,Conflict,3.9,4,High,Increasing,High,3.8,3.4,4,4.45,3.9,5,3.2,2.2,4,Middle east,2020-10-26 00:00:00
Venezuela displacement in Peru,Venezuelan refugees,PER002,Peru,PER,International displacement,2.6,3,Medium,Stable,Medium,2.5,2.8,2.4,3.1,3.2,3,1.9,2.3,1.5,Americas,2020-10-06 00:00:00
Multiple crises in the Philippines,Country level,PHL001,Philippines,PHL,Multiple crises country,2.4,3,Medium,Decreasing,Very High,3.1,3.3,3,1.65,2.3,1,3,2.9,3,Asia,2020-10-28 00:00:00
Mindanao conflict,Mindanao Conflict,PHL003,Philippines,PHL,Conflict,2.2,3,Medium,Stable,High,2.8,2.9,2.8,1.5,2,1,2.7,2.9,2.5,Asia,2020-10-28 00:00:00
Mindanao Earthquake,Mindanao Earthquake,PHL004,Philippines,PHL,Earthquake,1.8,2,Low,Decreasing,High,1.9,2.5,1.5,1.25,1.5,1,2.7,2.9,2.5,Asia,2020-10-28 00:00:00
Burundi and DRC refugees in Rwanda,Refugees,RWA002,Rwanda,RWA,International displacement,2,2,Low,Increasing,Medium,2.6,2.1,2.8,1.5,2,1,2.1,2.6,1.5,Africa,2020-10-30 00:00:00
Drought in Senegal,Drought,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Decreasing,Medium,2.7,4.5,1.2,2.35,2.7,2,2.2,1.8,2.5,Africa,2020-10-05 00:00:00
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,Complex crisis,4.6,5,Very High,Decreasing,High,4.7,4.6,4.8,4.75,4.5,5,4.2,3.9,4.5,Africa,2020-11-05 00:00:00
Mixed Migration Flows in Somalia,Mixed Migration,SOM002,Somalia,SOM,International displacement,1.9,2,Low,Decreasing,Medium,1.8,0.8,2.2,0.95,0.9,1,3.5,3.9,3,Africa,2020-08-21 00:00:00
Floods in Somalia,Floods,SOM004,Somalia,SOM,Flood,3,3,Medium,Increasing,Medium,2.5,2.6,2.4,2.7,2.4,3,4,3.9,4,Africa,2020-08-21 00:00:00
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,Complex crisis,4.4,5,Very High,Increasing,Medium,4.7,4.6,4.8,4.4,4.8,4,4.1,3.7,4.5,Africa,2020-11-05 00:00:00
