,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,5,1,5,5,2.1,1,5,3.55,4.4,2.8,0.3560916767189385,1.7,2.25,x,x,x,x,x,x,x,x,x,2.25
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,5,0.8413184495485995,4.2,4.6,5,0.8049838623621304,4,4.5,4.6,x,x,x,x,4,x,x,4,x,x,x,x,4,4
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,5,0.5546613853236966,2.7,3.85,5,0.6124780239484295,3,4,3.9,x,x,x,x,3.6,x,x,3.6,x,x,x,x,3.6,3.6
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,5,0.7393739550914376,3.7,4.35,5,0.6196153206972859,3.1,4.05,4.2,1.6,0.0038819875776397515,0,0.8,3.5,1,5,4.3,3.2,0.0006290909090909091,5,4.1,4.2,2.9
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,0.9757348102654091,4.9,4.95,4.8,x,x,x,x,x,x,x,x,2.5,x,x,2.5,2.5,2.5
Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,4.2,0.4382130776469391,2.1,3.1500000000000004,2.4,0.1793015037072968,0.9,1.65,2.5,3.5,0.7733333333333333,3.9,3.7,3.6,0.08595702148925537,2.9,3.3,4.4,0.00027736131934032984,5,4.7,4.1,3.9
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,3.2,0.10017803097739006,0.4,1.8,1.5,0.09510775414039221,0.4,0.95,1.4,2.3,0.2593806921675774,1.3,1.7999999999999998,3.5,0.42134831460674155,5,4.3,4,0.0008412921348314607,5,4.5,4.4,3.4
Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,4.2,0.4382130776469391,2.1,3.1500000000000004,1.3,0.08419374956690458,0.4,0.8500000000000001,2.2,3.1,1,5,4.05,2.8,0.03868312757201646,1.3,2.1,x,x,x,x,2.1,3.2
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,4.1,0.44359037177681143,2.2,3.15,3.4,0.19889407622837899,1,2.2,2.7,3.7,0.49292929292929294,2.4,3.05,4.4,0.25214676034348166,5,4.7,3.4,4.566744730679157e-05,2.3,2.9,4,3.6
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.8,0.06868530654743676,0.2,1.5,2,0.07427674881371499,0.3,1.15,1.3,2.8,0.4026275115919629,2,2.4,4.4,0.7594369801663468,5,4.7,3.3,0.00012156110044785668,5,4.2,4.5,3.7
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.3749052183499724,1.8,2.9,2.7,0.12461732741466401,0.6,1.6500000000000001,2.3,3.4,0.546599109473361,2.7,3.05,2.9,0.02949438202247191,1,2,2.3,1.2359550561797752e-05,0.6,1.5,1.8,2.5
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,0,0.000999647754740128,0,0,1.2,0.8878394332939787,4.4,2.8000000000000003,1.6,2.6,0.48359929078014185,2.4,2.5,0,0,0,0,x,x,x,x,0,1.4
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,3.5,0.9999961774970915,5,4.25,2.7,1,5,3.85,4.1,1.9,0.06471135940409684,0.3,1.0999999999999999,2.9,0.2446043165467626,5,4,1.1,1.4388489208633093e-05,0.7,0.9,2.8,2
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,0.9999575875816439,5,4.8,4.9,4.8,1.0000424142172457,5,4.9,3.9,0.02281788107557893,0.8,2.4,3.8,2.0782084994486386e-05,1,2.4,2.4,4
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.031300364746797864,0.1,0.05,1.2,2.3,0.986449864498645,4.9,3.6,3.5,0.36538461538461536,5,4.3,3.2,0.0002458791208791209,5,4.1,4.2,3.9
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,3,0.3308168631775384,1.6,2.3,2.3,2.5,0.12371794871794872,0.6,1.55,3.3,0.20725388601036268,5,4.2,3.3,0.00022797927461139898,5,4.2,4.2,3.1
Nigerian Refugees,International displacement,NER004,Niger,NER,1.2,0.003891213389121339,0,0.6,0,0.0278225464415981,0.1,0.05,0.3,1,0.1875,0.9,0.95,2.8,0.7560975609756098,5,3.9,1,4.065040650406504e-05,2,1.5,2.9,2
