,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,39.9,3.4,4.507,2.9,0.293,4.8,0.7823529411764706,0.06666666666666667,0.08837254901960784,0.056862745098039215,0.005745098039215686,4,4.4
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,17.453,0.679,4.831,0,0,4.5,0.7600487741148805,0.029569307146278798,0.21038191873884074,0,0,3,3.75
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,0.983,0.15,0,0,0,0,0.8676081200353045,0.1323918799646955,0,0,0,2,1
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,0.434,0.422,0.163,0.005,0,2,0.423828125,0.412109375,0.1591796875,0.0048828125,0,3,2.5
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,0.988,0,0.036,0,0,0.9,0.96484375,0,0.03515625,0,0,1,0.95
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,0.47,0.422,0.127,0.005,0,1.9,0.458984375,0.412109375,0.1240234375,0.0048828125,0,3,2.45
Venezuela displacement in Dominican Republic,International displacement,DOM002,Dominican Republic,DOM,0.564,9.305,0.099,0,0,1.7,0.05657538368943726,0.9333935199117264,0.009930785434848028,0,0,2,1.85
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,0,0,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,0,0,3,2.3
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,6.579,0.14,0.873,0,0,3.2,0.8665700737618546,0.0184404636459431,0.11498946259220232,0,0,3,3.1
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,20.988,0.14,2.671,0,0,4,0.8818487394957983,0.0058823529411764705,0.11222689075630252,0,0,3,3.5
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,5.009,0,1.2,0,0,3.5,0.8067321629892092,0,0.19326783701079078,0,0,3,3.25
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,11.868,0,0.115,0,0,1.8,0.9904030710172744,0,0.009596928982725527,0,0,1,1.4
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,0,80.2,0.925,17.15,5.425,5,0,0.7733847637415622,0.008919961427193828,0.16538090646094503,0.05231436837029894,5,5
International Displacement,International displacement,ETH003,Ethiopia,ETH,86,17.614,0.087,0,0,1.6,0.8293153326904532,0.1698553519768563,0.0008389585342333654,0,0,2,1.8
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,0,21.1,6.499,2.5,0.401,5,0,0.6918032786885245,0.21308196721311476,0.08196721311475409,0.013147540983606557,4,4.5
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,54.4,0.9,7.2,0,0,4.8,0.8704,0.0144,0.1152,0,0,3,3.9
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.245,0.147,0.019,0,0,0.5,0.5961070559610706,0.35766423357664234,0.046228710462287104,0,0,2,1.25
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,11.4,1.9,3.8,0,0,4.3,0.6666666666666666,0.1111111111111111,0.2222222222222222,0,0,3,3.65
