Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,8358140,99944000,806000,481000,940,x,46,x,x,#N/A,x,99138000,420000,386000,x,x,5,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,3551558,99944000,451000,478000,x,x,0,x,x,#N/A,x,99493000,90000,361000,x,x,5,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,377437,18850000,355000,20000,940,x,46,x,x,#N/A,x,18496000,329000,25000,x,x,1,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,622980,6091000,6091000,1564000,1,x,269,x,x,#N/A,x,0,2665000,2649000,778000,0,6,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,743532,19604000,13131000,444000,x,x,7,x,x,#N/A,x,6472000,12822000,310000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,475440,25680000,3849000,2195000,150,x,432,x,x,#N/A,x,21831000,0,2477000,1372000,x,4,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,34513,5179000,1555000,775000,x,x,238,x,x,#N/A,5.2,3623000,0,493000,1063000,x,4,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,88019,14851000,1686000,1179000,x,x,188,x,x,#N/A,x,13165000,0,1377000,309000,x,4,x,377500,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,231318,5650000,607000,353000,0,x,8,0,0,#N/A,x,5043000,0,607000,x,x,1,x,x,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,2344860,108584000,26429000,10047000,1,x,2095,x,x,#N/A,1700,82155000,529000,10300000,10800000,4800000,4,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0
