,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Typhoon RAI,Typhoon RAI (Odette),PHL010,Philippines,PHL,Tropical cyclone,3.2,4,High,-,High,2.9,3,2.9,3.5,4,3,3,3.5,2.5,Asia,2022-01-23 00:00:00
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,Complex crisis,3.8,4,High,Increasing,Medium,3.9,4.6,3.5,4.5,5,4,2.7,2.9,2.5,Asia,2022-01-23 00:00:00
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,Conflict,3.9,4,High,Decreasing,Very High,3.7,3.4,3.9,4,4,4,3.8,2.8,4.5,Middle east,2022-01-19 00:00:00
Regional Boko Haram Crisis,Regional Boko Haram,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",Regional crisis,4.3,5,Very High,Decreasing,Medium,4,2.3,4.5,4.45,4.9,4,4.4,4.3,4.5,"Africa,Africa,Africa,Africa",2021-10-30 00:00:00
Venezuela Regional Crisis,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",Regional crisis,4.1,5,Very High,Increasing,Low,4.1,2.9,4.5,4,5,3,4.1,3.6,4.5,"Americas,Americas,Americas,Americas,Americas,Americas",2021-10-27 00:00:00
Regional Kashmir conflict,Regional Kashmir conflict,REG003,"India,Pakistan","IND,PAK",Regional crisis,x,x,x,-,Very Low,3.3,2.1,3.7,x,x,x,3,3.5,2.5,"Asia,Asia",2022-01-23 00:00:00
Syrian Regional Crisis,Syrian Regional Crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",Regional crisis,4.4,5,Very High,Decreasing,High,3.9,3.1,4.2,4.5,5,4,4.7,4.3,5,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",2021-12-30 00:00:00
Eastern Mediterranean Route ,Eastern Mediterranean Route ,REG006,"Turkey,Greece","TUR,GRC",Regional crisis,3.3,4,High,Stable,High,3.2,3,3.3,3.5,4,3,3.2,3.4,3,"Middle east,Europe",2021-12-30 00:00:00
Central Mediterranean Route,Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",Regional crisis,x,x,x,-,Very Low,x,x,4,x,x,x,2.8,3.1,2.5,"Africa,Africa,Africa,Europe",2021-10-31 00:00:00
Western Mediterranean Route,Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",Regional crisis,x,x,x,-,Very Low,x,x,3.2,x,x,x,2.8,3.1,2.5,"Africa,Africa,Europe",2021-10-31 00:00:00
