Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country (to hide),Website name (to hide),Crisis description,Related crisis,Starting date,Duration (days)
MMR001,,,Myanmar,Multiple crises in Myanmar,MMR,Asia,Multiple crisis country,Myanmar,Country level,https://www.acaps.org/country/Myanmar/crisis/Country-level,,Before 2019,More than 2 years
MMR002,,,Myanmar,Rakhine Conflict,MMR,Asia,Conflict,Myanmar,Rakhine conflict,https://www.acaps.org/country/Myanmar/crisis/Rakhine-conflict,,Before 2019,More than 2 years
MMR003,,,Myanmar,Kachin and Shan Conflict,MMR,Asia,Conflict,Myanmar,Kachin and Shan conflict,https://www.acaps.org/country/Myanmar/crisis/Kachin-and-Shan-conflict,,Before 2019,More than 2 years
NAM002,,,Namibia,Food Security Crisis in Namibia,NAM,Africa,Food Security,Namibia,Food Security Crisis in Namibia,https://www.acaps.org/country/Namibia/crisis/Food-Security-Crisis-in-Namibia,REG012,2020-07-02 00:00:00,241
NIC001,,,Nicaragua,Socioeconomic crisis in Nicaragua,NIC,Americas,Political and economic crisis,Nicaragua,Socioeconomic crisis,https://www.acaps.org/country/Nicaragua/crisis/Socioeconomic-crisis,,Before 2019,More than 2 years
NIC002,,,Nicaragua,Hurricane Eta and Iota in Nicaragua,NIC,Americas,Tropical cyclone,Nicaragua,Hurricane Eta/Iota,https://www.acaps.org/country/Nicaragua/crisis/Hurricane-Eta/Iota,"COL003, GTM003, HND002, MEX004",2020-11-30 00:00:00,90
NER001,,,Niger,Multiple crises in Niger,NER,Africa,Multiple crisis country,Niger,Country level,https://www.acaps.org/country/Niger/crisis/Country-level,,Before 2019,More than 2 years
NER002,,,Niger,Boko Haram in Niger,NER,Africa,Conflict,Niger,Boko Haram,https://www.acaps.org/country/Niger/crisis/Boko-Haram,NGA004,Before 2019,More than 2 years
NER003,,,Niger,Mali/Burkina Faso conflict,NER,Africa,Conflict,Niger,Cross-border violence,https://www.acaps.org/country/Niger/crisis/Cross-border-violence,,Before 2019,More than 2 years
NER004,,,Niger,Nigerian Refugees,NER,Africa,International displacement,Niger,Nigerian Refugees,https://www.acaps.org/country/Niger/crisis/Nigerian-Refugees,NGA001,16/12/2019,More than 2 years
NER005,,,Niger,Floods in Niger,NER,Africa,Flood,Niger,Floods,https://www.acaps.org/country/Niger/crisis/Floods,,2020-09-29 00:00:00,152
NGA001,,,Nigeria,Complex crisis in Nigeria,NGA,Africa,Complex crisis,Nigeria,Complex crisis,https://www.acaps.org/country/Nigeria/crisis/Complex-crisis,,Before 2019,More than 2 years
NGA003,,,Nigeria,Middle belt conflict,NGA,Africa,Conflict,Nigeria,Middle Belt,https://www.acaps.org/country/Nigeria/crisis/Middle-Belt,,Before 2019,More than 2 years
NGA004,,,Nigeria,Boko Haram crisis in Nigeria,NGA,Africa,Conflict,Nigeria,Boko Haram,https://www.acaps.org/country/Nigeria/crisis/Boko-Haram,,Before 2019,More than 2 years
NGA007,,,Nigeria,Northwest Banditry,NGA,Africa,Other type of violence,Nigeria,Northwest Banditry,https://www.acaps.org/country/Nigeria/crisis/Northwest-Banditry,,16/12/2019,More than 2 years
NGA008,,,Nigeria,Cameroonian Refugees in Nigeria,NGA,Africa,International displacement,Nigeria,Cameroonian Refugees in Nigeria,https://www.acaps.org/country/Nigeria/crisis/Cameroonian-Refugees-in-Nigeria,CMR003,2020-01-10 00:00:00,415
REG001,,,"Nigeria, Niger, Chad, Cameroon",Regional Boko Haram Crisis,"NGA, NER, TCD, CMR",Africa,Regional crisis,Nigeria,Regional Boko Haram,https://www.acaps.org/country/Nigeria/crisis/Regional-Boko-Haram,NGA004,Before 2019,More than 2 years
PAK001,,,Pakistan,Complex crisis in Pakistan,PAK,Asia,Complex crisis,Pakistan,Complex crisis,https://www.acaps.org/country/Pakistan/crisis/Complex-crisis,,Before 2019,More than 2 years
PAK004,,,Pakistan,Kashmir conflict in Pakistan,PAK,Asia,Conflict,Pakistan,Kashmir conflict,https://www.acaps.org/country/Pakistan/crisis/Kashmir-conflict,REG003,Before 2019,More than 2 years
PSE002,,,Palestine,Conflict in Palestine,PSE,Middle east,Conflict,Palestine,Complex,https://www.acaps.org/country/Palestine/crisis/Complex,,Before 2019,More than 2 years
PER002,,,Peru,Venezuela displacement in Peru,PER,Americas,International displacement,Peru,Venezuelan refugees,https://www.acaps.org/country/Peru/crisis/Venezuelan-refugees,VEN001,Before 2019,More than 2 years
PHL001,,,Philippines,Multiple crises in the Philippines,PHL,Asia,Multiple crisis country,Philippines,Country level,https://www.acaps.org/country/Philippines/crisis/Country-level,,16/12/2019,More than 2 years
PHL003,,,Philippines,Mindanao conflict,PHL,Asia,Conflict,Philippines,Mindanao Conflict,https://www.acaps.org/country/Philippines/crisis/Mindanao-Conflict,,Before 2019,More than 2 years
PHL004,EQ-2019-000129-PHL,EQ-2019-000129-PHL,Philippines,Mindanao Earthquake,PHL,Asia,Earthquake,Philippines,Mindanao Earthquake,https://www.acaps.org/country/Philippines/crisis/Mindanao-Earthquake,,2019-12-16 00:00:00,440
PHL009,,,Philippines,Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),PHL,Asia,Tropical cyclone,Philippines,Typhoon Goni and Typhoon Vamco,https://www.acaps.org/country/Philippines/crisis/Typhoon-Goni-and-Typhoon-Vamco,,2020-11-11 00:00:00,109
RWA002,,,Rwanda,Burundi and DRC refugees in Rwanda,RWA,Africa,International displacement,Rwanda,Refugees,https://www.acaps.org/country/Rwanda/crisis/Refugees,,Before 2019,More than 2 years
SEN002,,,Senegal,Drought in Senegal,SEN,Africa,Drought,Senegal,Drought,https://www.acaps.org/country/Senegal/crisis/Drought,,Before 2019,More than 2 years
SOM001,,,Somalia,Complex crisis in Somalia,SOM,Africa,Complex crisis,Somalia,Complex crisis,https://www.acaps.org/country/Somalia/crisis/Complex-crisis,,Before 2019,More than 2 years
SOM002,,,Somalia,Mixed Migration Flows in Somalia,SOM,Africa,International displacement,Somalia,Mixed Migration,https://www.acaps.org/country/Somalia/crisis/Mixed-Migration,,Before 2019,More than 2 years
SOM004,,,Somalia,Floods in Somalia,SOM,Africa,Flood,Somalia,Floods,https://www.acaps.org/country/Somalia/crisis/Floods,,2020-04-30 00:00:00,304
SSD001,,,South Sudan,Complex crisis in South Sudan,SSD,Africa,Complex crisis,South Sudan,Complex crisis,https://www.acaps.org/country/South Sudan/crisis/Complex-crisis,,Before 2019,More than 2 years
SDN001,,,Sudan,Complex crisis in Sudan,SDN,Africa,Complex crisis,Sudan,Complex crisis,https://www.acaps.org/country/Sudan/crisis/Complex-crisis,,Before 2019,More than 2 years
SDN005,,,Sudan,Refugees in Sudan,SDN,Africa,International displacement,Sudan,Refugees,https://www.acaps.org/country/Sudan/crisis/Refugees,,2020-01-27 00:00:00,398
SDN006,FL-2020-000176-SDN,FL-2020-000176-SDN,Sudan,Floods in Sudan ,SDN,Africa,Flood,Sudan,Floods,https://www.acaps.org/country/Sudan/crisis/Floods,,2020-08-21 00:00:00,191
SDN007,,,Sudan,Refugees from Ethiopia,SDN,Africa,International displacement,Sudan,Refugee influx from Tigray,https://www.acaps.org/country/Sudan/crisis/Refugee-influx-from-Tigray,ETH004,2020-12-10 00:00:00,80
SYR001,,,Syria,Syrian conflict,SYR,Middle east,Complex crisis,Syria,Conflict,https://www.acaps.org/country/Syria/crisis/Conflict,,Before 2019,More than 2 years
REG004,,,"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon",Syrian Regional Crisis,"SYR, TUR, IRQ, EGY, JOR, LBN",Middle east,Regional crisis,Syria,Syrian Regional Crisis,https://www.acaps.org/country/Syria/crisis/Syrian-Regional-Crisis,SYR001,Before 2019,More than 2 years
TZA002,,,Tanzania,International Displacement in Tanzania,TZA,Africa,International displacement,Tanzania,Refugees,https://www.acaps.org/country/Tanzania/crisis/Refugees,,Before 2019,More than 2 years
THA001,,,Thailand,Multiple situations in Thailand,THA,Asia,Multiple crisis country,Thailand,Country level,https://www.acaps.org/country/Thailand/crisis/Country-level,,Before 2019,More than 2 years
THA002,,,Thailand,Conflict in southern Thailand ,THA,Asia,Conflict,Thailand,Conflict,https://www.acaps.org/country/Thailand/crisis/Conflict,,Before 2019,More than 2 years
THA003,,,Thailand,Myanmar refugees in Thailand,THA,Asia,International displacement,Thailand,Refugees,https://www.acaps.org/country/Thailand/crisis/Refugees,MMR001,Before 2019,More than 2 years
TTO002,,,Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO,Americas,International displacement,Trinidad and Tobago,Venezuelan refugees,https://www.acaps.org/country/Trinidad and Tobago/crisis/Venezuelan-refugees,VEN001,Before 2019,More than 2 years
TUN002,,,Tunisia,Mixed migration flows in Tunisia,TUN,Africa,International displacement,Tunisia,Mixed Migration,https://www.acaps.org/country/Tunisia/crisis/Mixed-Migration,,Before 2019,More than 2 years
TUR001,,,Turkey,Complex situation in Turkey,TUR,Middle east,Multiple crisis country,Turkey,Country level,https://www.acaps.org/country/Turkey/crisis/Country-level,,Before 2019,More than 2 years
TUR002,,,Turkey,Syrian Refugees in Turkey,TUR,Middle east,International displacement,Turkey,Syrian refugees,https://www.acaps.org/country/Turkey/crisis/Syrian-refugees,SYR001,Before 2019,More than 2 years
TUR003,,,Turkey,Mixed Migration Flows in Turkey,TUR,Middle east,International displacement,Turkey,Mixed Migration,https://www.acaps.org/country/Turkey/crisis/Mixed-Migration,,Before 2019,More than 2 years
TUR004,,,Turkey,Kurdish Conflict,TUR,Middle east,Conflict,Turkey,Kurdish conflict,https://www.acaps.org/country/Turkey/crisis/Kurdish-conflict,,Before 2019,More than 2 years
REG006,,,"Turkey, Greece",Eastern Mediterranean Route ,"TUR, GRC",Europe,Regional crisis,Turkey,Eastern Mediterranean Route,https://www.acaps.org/country/Turkey/crisis/Eastern-Mediterranean-Route,,Before 2019,More than 2 years
UGA001,,,Uganda,Multiple crises in Uganda,UGA,Africa,Multiple crisis country,Uganda,Country level,https://www.acaps.org/country/Uganda/crisis/Country-level,,2020-06-05 00:00:00,268
