,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,4.302,0.233,0.031,x,x,0.8,0.9421813403416557,0.0510293473499781,0.006789312308366185,x,x,2,1.4
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,36.822,0,0.957,0,0,3.3,0.9746942665043147,0,0.02533220392821219,0,0,1,2.15
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,15.254,4.97,5.459,0,5,0,0.5828366192877885,0.18989760048907228,0.20858169035610577,0,4,4.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0.831,1.594,1.031,0.977,1.18,4.2,0.14804917156600747,0.2839836094779975,0.18368074113664704,0.17406021735257438,0.21022626046677356,5,4.6
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,0.831,1.594,0.756,0.108,0.036,3.3,0.24984966927239927,0.4792543595911004,0.22730006013229104,0.032471437161755864,0.010823812387251955,3,3.15
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,0,0,0.275,0.869,1.144,3.9,0,0,0.1201923076923077,0.3798076923076923,0.5,5,4.45
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",10.439,0,5.819,4.406,0.874,5,0.4846782431052094,0,0.27017364657814097,0.20456866932862847,0.04057944098802117,4,4.5
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",149.809,37.651,26.943,0,0,5,0.6987294894637177,0.17560936931558474,0.12566580535629332,0,0,3,4
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",62.062,13.93,14.167,6.254,0.127,5,0.642863061943236,0.14429252123472136,0.14674746219183757,0.06478143774601201,0.0013155168841930806,4,4.5
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",15.532,0.374,0.459,0.021,0,2.8,0.9478823385817161,0.02282436226046625,0.028011717319663128,0.001281581838154522,0,2,2.4
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",116.752,5.783,1.684,x,x,3.7,0.9398884228660672,0.04655487485811349,0.013556702275819319,x,x,2,2.85
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",131.266,0,0.359,x,x,2.6,0.9972725546058878,0,0.002727445394112061,x,x,1,1.8
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",0,1.794,1.736,1.464,x,4.2,0,0.3592310772927513,0.3476171405686824,0.2931517821385663,x,4,4.1
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",17.978,48.958,12.859,0.386,0,5,0.22422050386630082,0.6106011474183088,0.16037665253180344,0.004814168121726116,0,3,4
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",2.552,0.353,0.154,0,0,2,0.8339869281045752,0.11535947712418301,0.05032679738562092,0,0,3,2.5
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",9.291,108.649,11.977,12.164,0,5,0.06539273648648648,0.7647029842342342,0.08429757882882882,0.08561373873873875,0,4,4.5
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",9.1,14.723,3.021,0.15,0.006,4.2,0.337037037037037,0.5452962962962963,0.11188888888888888,0.005555555555555556,0.00022222222222222223,3,3.6
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,19.047,0,0.078,x,x,1.5,0.995921568627451,0,0.00407843137254902,x,x,1,1.25
