Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,12012,342000,91000,91000,0,x,0,x,x,#N/A,x,252000,0,91000,0,0,1,x,x,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0
Food Security Crisis in Timor-Leste,Food Security,TLS003,Timor Leste,TLS,14950,1359000,810000,0,0,x,0,x,x,#N/A,x,549000,549000,255000,7000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,5130,1531000,212000,26000,x,x,0,x,x,#N/A,x,1319000,174000,38000,x,x,3,x,x,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,163610,12520000,83000,83000,x,x,1394,0,0,#N/A,x,12437000,0,83000,x,x,4,x,x,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,333028,52050000,16617000,8142000,x,x,54,x,x,#N/A,x,27851000,19024000,4901000,275000,0,4,x,x,1.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,203090,42290000,7230000,3622000,x,x,0,0,0,#N/A,x,35060000,4936000,2041000,254000,0,2,x,x,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,140419,15736000,639000,320000,x,x,1,0,0,#N/A,x,15097000,358000,260000,21000,0,2,x,x,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,81458,5833000,x,1200000,x,x,3,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,98092,13422000,9100000,3000000,107204,x,0,3273605,298000,#N/A,34000000000,4322000,6500000,2600000,x,x,3,x,x,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,441435,22102000,18126000,241000,x,x,12,x,x,#N/A,x,3976000,16985000,1141000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,187103,15015000,15015000,241000,0,x,12,x,x,#N/A,x,0,14774000,241000,x,x,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,357159,7087000,3111000,x,x,x,0,x,x,#N/A,x,3976000,2211000,900000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,26513,7809000,1615000,1615000,x,x,x,x,x,#N/A,x,6194000,0,1615000,x,x,2,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
Russia-Ukraine conflict,"Conflict,Displacement",UKR002,Ukraine,UKR,603550,38397000,21379000,14176000,3253,x,13418,x,x,#N/A,411000000000,17018000,3810000,11420000,1406000,4744000,2,x,x,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,882050,28302000,28302000,7723000,x,x,260,x,x,#N/A,x,0,9623000,3113000,15566000,0,5,x,x,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0
Conflict in Yemen,Conflict,YEM001,Yemen,YEM,527970,32900000,27900000,6107000,1037,35674,1434,x,x,#N/A,x,5000000,6300000,8200000,7300000,6100000,4,x,x,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0
Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,46890,6243000,281000,281000,234,35674,87,x,x,#N/A,x,5961000,56000,70000,98000,56000,2,x,x,0.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,752618,9127000,8553000,x,0,9500,374,0,0,#N/A,x,3265000,3825000,1979000,58000,0,3,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Complex crisis in Zimbabwe,"Socio-political,Drought",ZWE001,Zimbabwe,ZWE,386850,16862000,16862000,24000,0,15571,82,x,x,#N/A,x,0,13862000,3000000,x,x,4,x,x,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0
