,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human,,,
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,4.6,0.9012494118877098,4.5,4.55,0,0,0,0,2.3,2.552204176334107e-06,0.1,1.2,0.6,3.2,,,
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,1.6,0.028595343174554862,0,0.8,1.9,0.1251435132032147,0.6,1.25,1,1.3,0.047182175622542594,0.2,0.75,3.2,1,5,4.1,0,0,0,0,2.6,1.8,,,
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,4.9,1.001217068104799,5,4.95,1.2,0.8878394332939787,4.4,2.8000000000000003,4.1,2.6,0.48359929078014185,2.4,2.5,0,0,0,0,0,0,0,0,0,1.4,,,
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,3.5,0.16310924369747898,0.8,2.15,3.9,0.14554353426069036,4.9,4.4,4,0.00015558990211231324,5,4.5,4.5,3.6,,,
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.03987394957983193,0.2,0.1,1.2,1.6,0.3087460484720759,1.5,1.55,3.4,0.8293515358361775,5,4.2,3.1,0.0005051194539249146,5,4.1,4.2,3.1,,,
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,3.1,0.35294117647058826,1.7,2.4,2.4,2.7,0.16142857142857142,0.8,1.75,3.3,0.14896755162241887,5,4.2,3.7,0.00030604719764011797,5,4.4,4.3,3.3,,,
Nigerian Refugees,International displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,0.4,0.05579831932773109,0.2,0.30000000000000004,0.6,2.2,0.5301204819277109,2.6,2.4000000000000004,3.2,0.265625,5,4.1,1.7,2.2727272727272726e-05,1.1,1.4,3,2.7,,,
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,4.9,0.999033784599844,5,4.95,5,0.3826605760235664,1.9,3.45,4.3,4.6,0.2318695465598627,1.1,2.8499999999999996,5,0.297347316471314,5,5,5,0.000212551174920083,5,5,5,4.2,,,
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,3.8,0.19946199369764045,0.9,2.35,4,0.07728747437351964,0.3,2.15,2.3,2.5,0.06322431109966521,0.3,1.4,3.7,0.3869653767820774,5,4.4,3.9,0.0005081466395112016,5,4.5,4.5,3.3,,,
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,3.7,0.06518580442268267,0.3,2,2.1,4.4,1,5,4.7,5,0.3335114503816794,5,5,4.2,6.389312977099237e-05,3.2,3.7,4.5,4.6,,,
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.17711132342111024,0.8,2.9,2.8,3.4,0.1033630208187003,0.5,1.95,3.8,0.13182930144060886,4.4,4.1,4.8,0.0006670290839902147,5,4.9,4.5,3.5,,,
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,3.4,0.11933638569562019,0.5,1.95,3.7,0.06307099779064908,0.3,2,2,0.6,0.00544378698224852,0,0.3,2.6,1,5,3.8,0,0,0,0,2.3,1.4,,,
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,3.5,0.9999961774970915,5,4.25,2.7,1,5,3.85,4.1,1.9,0.06471135940409684,0.3,1.0999999999999999,2.9,0.2446043165467626,5,4,0.7,7.1942446043165465e-06,0.4,0.6,2.7,2,,,
