,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
MDA002,1,1,1,1,1,1,1,1,1,1,1,68,68,68,68,68,68,68,68,68,7.7,,
MDG001,0,0,0,0,0,0,0,0,0,0,245,66,66,66,66,66,66,66,66,66,31.1,,
MDG002,0,0,0,0,0,0,0,0,0,0,245,66,66,66,66,66,66,66,66,66,31.1,,
MDG008,0,0,0,0,0,0,0,0,0,0,245,66,66,66,66,66,66,66,66,66,31.1,,
MEX001,309,309,93,93,34,126,93,93,309,309,309,65,65,65,65,65,65,65,65,65,152.4,,
MEX002,309,309,309,309,34,309,309,309,309,309,309,65,65,65,65,65,65,65,65,65,257.1,,
MEX003,126,34,126,126,34,34,34,93,126,126,309,65,65,65,65,65,65,65,65,65,107.3,,
MLI001,518,369,369,0,0,369,369,369,369,369,0,63,63,63,63,63,63,63,63,63,227.7,,
MMR001,5,5,5,5,5,5,5,5,5,5,5,65,65,65,65,65,65,65,65,65,11,,
MMR002,5,5,5,5,5,5,5,5,5,5,5,65,65,65,65,65,65,65,65,65,11,,
MMR003,5,5,5,5,5,5,5,5,5,5,5,65,65,65,65,65,65,65,65,65,11,,
MMR004,5,5,5,5,5,5,5,5,5,5,5,65,65,65,65,65,65,65,65,65,11,,
MOZ001,245,0,0,0,0,0,0,0,0,0,245,65,65,65,65,65,65,65,65,65,31,,
MOZ004,245,0,0,0,0,0,0,0,0,0,245,65,65,65,65,65,65,65,65,65,31,,
MOZ010,245,0,0,0,0,0,0,0,0,0,245,65,65,65,65,65,65,65,65,65,31,,
MRT002,276,2,2,2,2,2,2,2,2,2,276,71,71,71,71,71,71,71,71,71,36.3,,
MRT003,1220,2,2,2,2,2,2,2,2,2,384,71,71,71,71,71,71,71,71,71,47.1,,
MWI002,0,0,0,0,0,0,0,0,0,0,278,65,65,65,65,65,65,65,65,65,34.3,,
MWI005,0,0,0,0,0,0,0,0,0,0,278,65,65,65,65,65,65,65,65,65,34.3,,
MYS001,129,129,129,5,5,5,5,5,5,5,1038,65,65,65,65,65,65,65,65,65,126.7,,
