,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1,5,5,4.7,3.7,0.1253146350233729,0.6,2.15,5,1.1875896700143471,5,5,3.6,6.384505021520803e-05,3.2,3.4,4.4,3.5
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9817062207838907,4.9,4.95,4.7,3.7,0.12133144086809212,0.6,2.15,5,1.1988679245283018,5,5,3.6,6.716981132075471e-05,3.4,3.5,4.4,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08288819303739178,0.3,1.45,2.6,0.13747303128371088,0.6,1.6,1.5,2.2,0.11312735000817394,0.5,1.35,3.5,0.3988439306358382,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.8,0.1147825200142777,0.5,1.65,1.7,1.8,0.05286539315859618,0.2,1,3.6,1,5,4.3,4.6,0.005016806722689076,5,4.8,4.6,3.3
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.2,0.794279236068719,4,3.6,3.1,2.9,0.20191040843214755,1,1.95,4.5,0.7172376291462752,5,4.8,0.9,2.175095160413268e-06,0.1,0.5,3.4,2.7
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5377655531830191,2.7,3.8000000000000003,4.3,4.9,0.9811898512685914,4.9,4.9,4.1,0.026715593813230906,0.9,2.5,x,x,x,x,2.5,4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.020773768593246717,0.1,0.15000000000000002,0.8,2.1,0.5130662020905923,2.5,2.3,4,1,5,4.5,x,x,x,x,4.5,3.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5170098802070139,2.6,3.75,4.3,4.9,1,5,4.95,x,x,x,x,x,x,x,x,x,4.95
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.2631578947368421,5,4.8,0,0,0,0,3.2,3.9
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.6,0.31456140350877193,5,4.8,0,0,0,0,3.2,3.9
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.23623188405797102,5,4.8,5,0.0008685507246376812,5,5,4.9,4.7
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.10942028985507246,0.5,1.4,4.1,1,5,4.6,4.7,0.0026158940397350994,5,4.9,4.8,3.6
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.29130434782608694,1.4,1.2,1.4,3,1,5,4,2.3,0.021393034825870648,0.7,1.5,5,0.001990049751243781,5,5,3.8,3.9
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,0,4.513450081242102e-08,0,0,0,3.3
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,3.3,0.07438779818450496,0.3,1.7999999999999998,3.5,0.09435970202199362,3.1,3.3,5,0.0011156438453352254,5,5,4.3,3.3
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0005013721764830061,0,0,1.8,1,5,3.4,3.2,0.009789473684210527,5,4.1,3.8,2.3
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,2,0.10555203715431707,0.5,1.25,1.5,3.2,0.7,3.5,3.35,3.4,0.08821428571428572,2.9,3.2,5,0.0010535714285714287,5,5,4.3,3.9
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.06612053832650673,0.3,0.15,0.2,0.9,0.5176991150442478,2.6,1.75,3,1,5,4,0,8.547008547008548e-06,0.4,0.2,2.6,2.2
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.27887490553018107,1.4,2.25,2.6,4,1,5,4.5,2.5,0.006244845057146223,0.2,1.4,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.7,0.2179870535274209,1.1,1.9000000000000001,2.2,3.5,0.6245100994874887,3.1,3.3,1.3,0.0019309678976587015,0.1,0.7,x,x,x,x,0.7,2.2
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.27887490553018107,1.4,2.25,2.6,4,1,5,4.5,2.4,0.005302226935312832,0.2,1.3,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.014059308072487644,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.020047493403693932,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.48919046734338845,2.4,3.7,3.8,1.4,0.003935988399192087,0,0.7,3.4,1,5,4.2,4.2,0.004105263157894737,5,4.6,4.4,3
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.5,0.1169767441860465,3.9,4.2,4.7,0.00015007751937984497,5,4.9,4.6,4.2
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0359802780670055,5,4.85,5,1,5,5,4.9,5,0.9802669345579793,4.9,4.95,5,0.05634653392870215,1.9,3.5,5,0.0001383683478515482,5,5,4.4,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056314693452563236,0.2,1.4000000000000001,1.8,0.062284730195177954,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.3686635944700461,5,4.7,1.5,3.1682027649769584e-06,0.2,0.9,3.4,3.8
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22906841428308936,1.1,2.35,2.3,0.08741747990815155,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.01928996511389288,0.6,1.7,3.8,9.296121485737738e-05,4.6,4.2,3.2,3.8
