Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Mali/Burkina Faso conflict,NER003,Niger,People facing restricted access constraints,x,,Medium,2,,No information currently available,NER003People facing restricted access constraints,2019-02-12,Humanitarian development
Multiple crises in Cameroon,CMR001,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR001People facing limited access constraints,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Buildings damaged,x,,Medium,2,,,CMR002Buildings damaged,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Buildings destroyed,x,,x,x,,,CMR002Buildings destroyed,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Economic Losses,5.2,World Bank 01/08/2018,Medium,2,http://documents.worldbank.org/curated/fr/500811535650451258/pdf/127883-FRENCH-REPORT-CEMAC-Agriculture.pdf,"Since 2013, the cattle stolen by Boko Haram from local farmers amounts to 5.2 million of dollars in economic losses",CMR002Economic Losses,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR002People facing limited access constraints,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,People facing restricted access constraints,x,,Medium,2,,,CMR002People facing restricted access constraints,2019-02-13,Humanitarian development
Anglophone Crisis in Cameroon,CMR003,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR003People facing limited access constraints,2019-02-13,Humanitarian development
Anglophone Crisis in Cameroon,CMR003,Cameroon,People facing restricted access constraints,377500,VOA 24/01/2019,Medium,2,https://www.voanews.com/a/cameroon-struggles-to-aid-idps-in-anglophone-separatist-areas/4756930.html?utm_source=NEWS&utm_medium=email&utm_content=1st+section+1st+story+voa&utm_campaign=HQ_EN_therefugeebrief_external_20190125,"Cameroon authorities assisted 60,000 IDPs in the separatist areas, but are unable to reach most of the displaced in need because many have fled to remote areas and are trapped by ongoing fighting

437,500 IDPs - 60,000 IDPs reached by the Cameroonian authorities",CMR003People facing restricted access constraints,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Buildings damaged,0,,Medium,2,,,CMR004Buildings damaged,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Buildings destroyed,0,,Medium,2,,,CMR004Buildings destroyed,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Crisis affected groups,3,,Medium,2,,,CMR004Crisis affected groups,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Economic Losses,x,,Medium,2,,,CMR004Economic Losses,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Injuries reported,0,,Medium,2,,,CMR004Injuries reported,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR004People facing limited access constraints,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,People facing restricted access constraints,x,,Medium,2,,,CMR004People facing restricted access constraints,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Buildings damaged,x,,Medium,2,,,COD001Buildings damaged,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Buildings destroyed,x,,x,x,,,COD001Buildings destroyed,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Crisis affected groups,5,,Medium,2,,,COD001Crisis affected groups,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Economic Losses,1700,WFP accessed 06/02/2019,Medium,2,https://www1.wfp.org/countries/democratic-republic-congo,"The 2016 Cost of Hunger in Africa study found that undernutrition costs the DRC 4.6% of its GDP, equivalent to US$ 1.7 billion every year",COD001Economic Losses,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,Buildings damaged,x,,Medium,2,,No information available,ERI001Buildings damaged,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,Buildings destroyed,x,,x,x,,No information available,ERI001Buildings destroyed,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,People facing limited access constraints,x,,Medium,2,,No information available,ERI001People facing limited access constraints,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,People facing restricted access constraints,x,,Medium,2,,No information available,ERI001People facing restricted access constraints,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Buildings damaged,x,,Medium,2,,No data available,THA001Buildings damaged,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Buildings destroyed,x,,x,x,,No data available,THA001Buildings destroyed,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Crisis affected groups,2,"UNHCR 31/12/2018, Border Consortium 31/12/2018",Medium,2,http://data.unhcr.org/thailand/regional.php https://reliefweb.int/sites/reliefweb.int/files/resources/Thailand%20Report%202019_22012019_LowRes.pdf https://www.theborderconsortium.org/media/119470/2018-12-december-map-tbc-unhcr.pdf,Non host (in the south) and refugees (at the border with myanmar),THA001Crisis affected groups,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Economic Losses,x,,Medium,2,,No data available,THA001Economic Losses,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Illness cases reported,x,,Medium,2,,No data available,THA001Illness cases reported,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,People facing limited access constraints,x,,Medium,2,,No data available,THA001People facing limited access constraints,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,People facing restricted access constraints,x,,Medium,2,,No data available,THA001People facing restricted access constraints,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Buildings damaged,x,,Medium,2,,No data available,THA002Buildings damaged,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Buildings destroyed,x,,x,x,,No data available,THA002Buildings destroyed,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Crisis affected groups,1,x,Medium,2,x,Non host population though there might also be displaced population (no information found),THA002Crisis affected groups,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Economic Losses,x,,Medium,2,,No data available,THA002Economic Losses,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Illness cases reported,x,,Medium,2,,No data available,THA002Illness cases reported,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,People facing limited access constraints,x,,Medium,2,,No data available,THA002People facing limited access constraints,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,People facing restricted access constraints,x,,Medium,2,,No data available,THA002People facing restricted access constraints,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Buildings damaged,x,,Medium,2,,No data available,THA003Buildings damaged,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Buildings destroyed,x,,x,x,,No data available,THA003Buildings destroyed,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Crisis affected groups,1,"UNHCR 31/12/2018, Border Consortium 31/12/2018",Medium,2,http://data.unhcr.org/thailand/regional.php https://reliefweb.int/sites/reliefweb.int/files/resources/Thailand%20Report%202019_22012019_LowRes.pdf https://www.theborderconsortium.org/media/119470/2018-12-december-map-tbc-unhcr.pdf,Refugee populations,THA003Crisis affected groups,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Economic Losses,x,,Medium,2,,No data available,THA003Economic Losses,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Illness cases reported,x,,Medium,2,,No data available,THA003Illness cases reported,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,People facing limited access constraints,x,,Medium,2,,No data available,THA003People facing limited access constraints,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,People facing restricted access constraints,x,,Medium,2,,No data available,THA003People facing restricted access constraints,2019-02-13,Humanitarian development
Drought in Zambia,ZMB002,Zambia,Buildings damaged,0,,Medium,2,,No damages due to drought,ZMB002Buildings damaged,2019-02-13,Humanitarian development
Drought in Zambia,ZMB002,Zambia,Buildings destroyed,0,,Medium,2,,No damages due to drought,ZMB002Buildings destroyed,2019-02-13,Humanitarian development
Mixed migration in Djibouti,DJI002,Djibouti,Buildings damaged,0,,Medium,2,,,DJI002Buildings damaged,2019-02-14,Humanitarian development
Mixed migration in Djibouti,DJI002,Djibouti,Buildings destroyed,0,,Medium,2,,,DJI002Buildings destroyed,2019-02-14,Humanitarian development
Mixed migration in Djibouti,DJI002,Djibouti,Economic Losses,0,,Medium,2,,,DJI002Economic Losses,2019-02-14,Humanitarian development
Mixed migration in Djibouti,DJI002,Djibouti,Injuries reported,x,,Medium,2,,,DJI002Injuries reported,2019-02-14,Humanitarian development
