,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,1.1,3.1,2.1,2.5,3.9,3.2,3.3,2.9,3.0999999999999996,2.8000000000000003,3,2.7,2.85,3.9,3.6,3.4,2.7,3.4,3,5,5,2,1,0,0,2,0,0,0,0,0,3,3,2,3.5
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,1.8,2.6,2.2,0.8,0.7,0.75,3.2,2.9,3.05,2,3,3.4,3.2,3.9,3.5,3.4,2.6,3.4,2.9,2,2,0,1,0,0,1,0,2,2,3,0,3,4,2,2
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.1,3.8,2.95,0,0,0,4.1,2,3.05,2,5,3.7,4.35,4.2,3.5,3.5,3.5,3.7,3.4,5,5,1,3,3,0,3,0,2,2,3,0,3,4,3,4
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.1,1.9,1.5,0.9,0.5,0.7,1.7,0.6,1.15,1.1166666666666667,1,0,0.5,2.9,2,2.1,1.8,2.2,1.3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Papua Conflict,"Socio-political,Violence,Conflict",IDN002,Indonesia,IDN,3.2,1.9,2.55,3.9,1.1,2.5,3,1.7,2.35,2.466666666666667,3,2.4,2.7,3.3,2.8,2,2.2,2.6,2.6,4,4,1,2,1,0,2,2,2,4,2,0,2,3,3,3.5
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,5,3.6,4.3,3.4,1.6,2.5,3.3,2.1,2.7,3.1666666666666665,4,x,4,3.8,3.2,3.9,4.5,3.9,3.7,2,2,1,0,0,0,1,2,2,4,0,1,2,3,3,2.5
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,2.8,3.55,2.7,0,1.35,3.6,0.6,2.1,2.3333333333333335,5,3.8,4.4,3.9,4.2,3.1,3.5,3.7,3.5,4,4,1,2,1,0,2,2,2,4,1,3,1,4,3,3.5
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,2.8,3.55,2.7,0,1.35,3.6,0.6,2.1,2.3333333333333335,5,3.8,4.4,3.9,4.2,3.1,3.5,3.7,3.5,2,2,1,1,1,0,2,2,2,4,1,3,1,4,3,2.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,4.3,2.8,3.55,2.7,0,1.35,3.6,0.6,2.1,2.3333333333333335,5,3.8,4.4,3.9,4.2,3.1,3.5,3.7,3.5,2,2,1,2,1,0,2,0,1,1,0,3,0,3,2,2
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,0.7,x,0.7,0.6,0.1,0.35,0.5,1.4,0.95,0.6666666666666666,0,4.2,2.1,2.2,2.2,x,0.5,1.6,1.5,3,3,0,1,1,0,2,0,2,2,0,0,1,1,2,2.5
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,4.3,3,3.65,2.9,5,3.95,3.1,1.1,2.1,3.233333333333333,3,0,1.5,2.7,2.4,2.9,3.4,2.9,2.5,2,2,0,0,0,0,0,0,2,2,0,2,0,2,1,1.5
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,3.6,2.1,2.85,4.3,0.8,2.55,3.6,2,2.8,2.733333333333333,5,4.1,4.55,3.5,3,2.3,2.4,2.8,3.4,3,3,0,1,0,0,1,2,2,4,3,0,3,4,3,3
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,3.6,2.1,2.85,4.3,0.8,2.55,3.6,2,2.8,2.733333333333333,5,4.1,4.55,3.5,3,2.3,2.4,2.8,3.4,2,2,0,1,0,0,1,2,2,4,3,0,3,4,3,2.5
Drought in Kenya,Drought,KEN003,Kenya,KEN,3.6,2.1,2.85,4.3,0.8,2.55,3.6,2,2.8,2.733333333333333,5,4.1,4.55,3.5,3,2.3,2.4,2.8,3.4,3,3,0,1,0,0,1,0,2,2,3,0,3,4,2,2.5
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,2.9,2.4,2.65,4.1,1,2.55,2.4,0.9,1.65,2.283333333333333,3,3.7,3.35,3.8,3.4,2.6,2.9,3.2,2.9,2,2,0,1,1,0,2,1,3,4,2,3,0,4,3,2.5
Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,2.9,2.4,2.65,4.1,1,2.55,2.4,0.9,1.65,2.283333333333333,3,3.7,3.35,3.8,3.4,2.6,2.9,3.2,2.9,3,3,0,1,1,0,2,1,3,4,2,3,0,4,3,3
